Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,L2 Distance
7,7,2,1.0,1.0,1.0,0,431.6943363075314
7,2,2,0.882131814956665,1.0,0.787308394908905,0,291.02749011047047
7,2,2,0.9999960660934448,0.9799275398254395,0.9992021918296814,0,434.91148524728567
7,7,2,1.0,1.0,1.0,0,457.8023591027027
3,2,2,0.9768239855766296,1.0,0.9999957084655762,0,175.72990639046048
7,3,2,1.0,0.9573711156845093,0.9999951124191284,0,558.5051476933762
7,2,2,1.0,0.9300893545150757,1.0,0,597.5098325550803
7,7,2,1.0,1.0,0.9999840259552002,0,356.23728047468586
7,7,2,1.0,1.0,1.0,0,753.666371811825
7,2,6,0.5183883309364319,0.955568790435791,1.0,1,274.0748073063265
7,7,2,0.929286539554596,0.9997952580451965,1.0,0,549.3887512499687
7,7,2,0.9999704360961914,0.9999831914901733,0.9999988079071045,0,549.7117426433604
7,7,2,1.0,0.9962214231491089,0.9999933242797852,0,392.07524787979156
7,7,2,1.0,1.0,0.9992882609367371,1,268.2517474314007
7,2,2,0.9999955892562866,0.9891272187232971,1.0,2,52.952809179494906
7,7,2,1.0,1.0,0.9936803579330444,0,684.9094830705734
7,2,8,1.0,0.9999996423721313,0.9851396679878235,0,465.9560065070521
7,2,2,1.0,0.9984607696533203,1.0,0,581.2366127490594
7,7,2,1.0,0.9999992847442627,1.0,0,355.4729244260384
6,7,6,0.7475513815879822,0.9933479428291321,0.9996310472488403,0,840.0565457158226
7,2,2,1.0,0.9999473094940186,1.0,0,215.49245926481976
7,2,2,1.0,1.0,0.9999929666519165,0,259.4667608769956
7,3,2,1.0,0.7395849823951721,0.9999940395355225,0,338.855426398929
7,2,2,1.0,0.9972008466720581,1.0,0,357.56118357562247
7,2,2,1.0,0.9447445869445801,1.0,0,432.1319243009014
7,2,2,0.9909809231758118,0.9999265670776367,0.9999998807907104,0,648.6509076537241
7,2,2,0.9777697920799255,1.0,1.0,3,311.7162170949725
7,2,2,0.8916054368019104,0.9986675977706909,0.9999786615371704,0,468.8741835503422
7,7,2,1.0,1.0,0.9999955892562866,0,454.8560211759321
7,7,2,1.0,1.0,1.0,1,347.38739182647373
7,7,2,1.0,1.0,1.0,0,628.5188939085284
7,7,2,1.0,1.0,1.0,4,317.6649177986137
7,2,2,0.9703312516212463,1.0,1.0,0,290.7490326725095
7,2,2,1.0,1.0,1.0,0,308.0243496868389
7,6,6,1.0,0.9999996423721313,0.9999991655349731,1,720.0812454160989
7,7,3,0.7134101986885071,0.9998917579650879,0.9850799441337585,0,466.40218695885204
7,7,2,0.9999998807907104,0.9991362690925598,0.9998358488082886,0,449.9499972219135
7,7,2,0.9999996423721313,0.999983549118042,0.9999994039535522,0,495.5249741435844
3,2,3,1.0,0.9999994039535522,0.9577807784080505,0,318.4776287276706
7,7,2,1.0,1.0,1.0,0,739.0953930312379
7,7,2,1.0,1.0,0.9731824398040771,0,665.5847053531203
7,7,2,1.0,1.0,0.9989911913871765,0,672.5050185686349
7,2,2,1.0,0.9999914169311523,1.0,0,589.639720507362
7,2,2,1.0,0.9999996423721313,1.0,0,220.4132482406627
7,2,2,1.0,1.0,0.9930437803268433,0,309.4785937670003
3,2,2,0.987015962600708,1.0,0.9995079040527344,0,455.48325984606726
7,2,2,1.0,0.9999997615814209,1.0,0,449.8788725868331
7,2,2,0.9999936819076538,1.0,0.9999954700469971,0,430.067436572452
7,7,2,1.0,0.9999994039535522,0.9999995231628418,0,515.7150375934368
7,2,2,1.0,0.9998981952667236,1.0,0,425.53495743593146
6,2,6,0.8322018384933472,1.0,0.999835729598999,1,432.8579443651231
7,2,2,0.9998984336853027,1.0,0.9999499320983887,0,409.40078163090993
7,2,2,1.0,0.9999849796295166,1.0,0,892.4006947554445
3,7,3,0.618313729763031,1.0,0.9999905824661255,0,539.5813191725599
7,2,2,0.9999829530715942,1.0,1.0,0,201.6035713969373
7,7,2,1.0,1.0,0.9997041821479797,1,730.4614979586536
0,2,0,0.9654614925384521,0.8196476697921753,0.9998000264167786,0,386.4518081210127
7,7,2,1.0,0.8809076547622681,1.0,0,880.227811421566
7,7,2,1.0,1.0,1.0,0,644.0551218645808
7,7,2,0.9998389482498169,1.0,0.9999998807907104,0,362.3575582211581
7,2,2,0.9955868721008301,0.9999849796295166,0.9978150129318237,0,434.60901969471365
7,7,2,1.0,0.9986617565155029,0.9966256618499756,0,535.9253679384846
7,2,7,0.9999998807907104,0.6382665038108826,0.9817750453948975,0,136.31214179228496
7,7,2,1.0,1.0,1.0,0,457.0940822194048
7,7,2,1.0,0.999998927116394,1.0,0,725.6755473350332
7,3,2,0.9971823692321777,0.980133056640625,0.9999819993972778,0,526.2879440002403
7,7,2,1.0,1.0,0.9999998807907104,0,881.1600308684002
7,7,2,1.0,1.0,1.0,0,449.7332542741308
7,7,2,1.0,0.9999878406524658,1.0,0,822.6408693956313
7,7,2,1.0,1.0,1.0,0,334.87908265521753
7,7,2,1.0,1.0,0.9999986886978149,0,616.2791575252242
7,7,2,1.0,0.9999946355819702,1.0,0,679.3033195855884
7,2,8,0.9998782873153687,1.0,0.9576283693313599,0,407.4481562113148
7,2,2,1.0,1.0,1.0,0,353.1784251621268
7,7,2,1.0,1.0,0.998729407787323,0,453.5724859380251
7,2,2,1.0,1.0,1.0,0,387.3990191004618
7,7,2,1.0,1.0,1.0,0,238.66713221556086
7,7,2,1.0,0.5415793657302856,0.9999990463256836,0,438.96924721442616
