Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,L2 Distance
3,7,7,0.8759195804595947,0.9700558185577393,0.4997839629650116,0,2788.3201035749107
8,4,4,0.5323478579521179,0.9994157552719116,1.0,0,2620.172704231536
8,4,4,0.9808457493782043,0.7544095516204834,0.9999994039535522,0,2298.7694534250277
8,5,8,0.886296808719635,0.7472884058952332,0.9525861740112305,0,2772.5349411684606
8,4,4,0.9676978588104248,0.7330275774002075,0.9999992847442627,0,2631.9530770893316
3,3,9,0.9940071105957031,0.7059155702590942,0.4815772771835327,4,4367.940361314472
2,2,4,0.9752761721611023,0.9999079704284668,0.9678390026092529,7,928.737314852806
8,6,4,0.8648884892463684,0.9999994039535522,0.9965972304344177,1,2603.3616729144646
8,0,0,0.98771733045578,0.9999980926513672,0.9999532699584961,4,3545.6115128423194
8,0,0,0.8998719453811646,0.9968400001525879,0.9995104074478149,3,3021.95598909051
8,4,4,0.8887529969215393,0.9969171285629272,1.0,0,2370.0443033833776
2,2,9,0.9992990493774414,0.999953031539917,0.5352323651313782,1,2923.48319646274
8,8,4,0.9998307228088379,0.9868386387825012,0.5260522961616516,10,2196.076956757208
8,6,6,0.5132991075515747,0.9998119473457336,0.8007974028587341,0,4110.814882720943
3,7,8,0.9410200119018555,0.9284593462944031,0.9991372227668762,0,2506.312031651287
8,4,4,0.5546213984489441,0.9999929666519165,1.0,0,2904.3823784068104
3,3,9,1.0,0.9999886751174927,0.5039087533950806,9,3210.3742772455676
2,0,0,0.44511646032333374,0.9998778104782104,0.9010334610939026,2,2650.7532891614037
8,9,9,0.7055612206459045,0.9991956353187561,0.7718575596809387,0,2733.6854244773667
8,7,4,0.6306193470954895,0.3535289764404297,0.9669843912124634,0,2020.0014851479689
2,2,4,0.994361400604248,0.9993482232093811,0.9999934434890747,1,3054.255883189881
8,8,4,0.9963322281837463,0.9839571714401245,0.821179986000061,6,1839.7116621905727
8,8,4,0.9619684219360352,0.981813907623291,0.5674533247947693,10,2316.49260737003
3,8,8,0.4852652847766876,0.7801614999771118,0.9773181676864624,0,1079.0746035376794
3,2,4,0.3782294988632202,0.6960857510566711,0.6192824244499207,1,2205.2156357145664
2,2,4,0.9980565905570984,1.0,0.8644810914993286,2,2758.9947444676295
8,8,1,0.648929238319397,0.574499249458313,0.7022034525871277,0,3326.547158842033
3,7,7,0.9999037981033325,0.6075220108032227,0.9495449662208557,0,2288.467391072025
2,2,8,0.9401453733444214,0.9999598264694214,0.7980883121490479,5,3099.821123871505
8,0,0,0.7258391380310059,0.9999785423278809,0.9992734789848328,2,3026.546381603956
3,7,7,0.993523120880127,0.8442107439041138,0.745400071144104,0,2260.811358782506
3,3,9,0.9999898672103882,0.9986048340797424,0.5732506513595581,2,1933.4898499862884
5,5,9,0.9860178232192993,0.9999099969863892,0.8312839865684509,7,1648.08009514101
3,9,9,0.49668338894844055,0.9999902248382568,0.9992678761482239,0,2917.624033353167
4,8,8,0.2641462981700897,0.926516592502594,0.8175081610679626,0,1656.7631091981739
9,8,8,0.40852782130241394,0.8949288725852966,0.6891137361526489,0,1588.8911227645524
5,3,2,0.3013482093811035,0.36223357915878296,0.8813306093215942,0,1382.1143223337208
2,2,8,0.995741605758667,0.9971555471420288,0.9838417768478394,4,3182.2114951712433
2,2,8,0.7778182029724121,0.9944860339164734,0.5169944763183594,2,4310.123084089363
8,6,6,0.5751380920410156,0.999998927116394,0.6680980920791626,2,3386.111929632569
2,0,0,0.34752610325813293,0.9990787506103516,0.9992792010307312,2,2953.9018263984335
2,2,4,0.9994174242019653,0.999974250793457,0.5825917720794678,1,4586.475771221298
3,3,9,0.9999244213104248,0.9996914863586426,0.7897902727127075,4,2179.8355442555753
8,9,9,0.9778557419776917,0.9995211362838745,0.846453070640564,1,3162.228960717424
8,0,0,0.9267680048942566,0.9986985921859741,0.9989301562309265,2,2720.530646767281
8,9,9,0.5028473138809204,0.9999425411224365,0.9994000196456909,0,4169.5011692047765
8,1,1,0.7631314992904663,0.8647856712341309,0.8195213079452515,0,3975.7453389270295
8,1,1,0.6046136021614075,0.49398690462112427,0.8434216976165771,0,2981.874913540137
8,2,7,0.8739134669303894,0.839357852935791,0.5271196961402893,0,3591.8048387962285
8,8,4,0.826650083065033,0.9178845286369324,0.5243245363235474,2,805.7121073932053
9,8,8,0.25263431668281555,0.6663302183151245,0.6437089443206787,0,1362.7255776567783
2,0,0,0.5014101266860962,0.9989709854125977,0.9916242957115173,2,2814.6193348302004
8,0,0,0.8126779198646545,0.9681198000907898,0.9860464930534363,2,3176.7758812985217
8,0,0,0.7306907176971436,0.9843421578407288,0.9949053525924683,1,3184.3523674367448
8,9,9,0.9065153002738953,0.9999978542327881,0.9885441660881042,0,2833.8161549401893
3,7,7,0.7535267472267151,0.9961054921150208,0.6560106873512268,0,2340.5014419991285
8,8,4,0.9931033849716187,0.9999569654464722,0.551244854927063,11,2777.800748793909
